UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,machine_id
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,M_1001
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,M_1004
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,M_1005
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,M_1007
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,M_1009
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,M_1011
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,M_1013
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,M_1016
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,M_1021
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,M_1022
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,M_1038
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,M_1040
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,M_1054
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,M_1055
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,M_1060
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,M_1064
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,M_1067
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,M_1072
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,M_1074
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,M_1077
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,M_1078
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,M_1089
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,M_1094
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,M_1097
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,M_1098
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,M_1105
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,M_1116
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,M_1117
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,M_1125
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,M_1126
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,M_1130
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,M_1133
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,M_1137
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,M_1140
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,M_1141
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,M_1145
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,M_1147
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,M_1148
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,M_1153
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,M_1154
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,M_1155
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,M_1158
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,M_1161
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,M_1162
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,M_1163
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,M_1189
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,M_1190
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,M_1197
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,M_1202
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,M_1204
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,M_1206
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,M_1207
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,M_1213
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,M_1224
